Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity_Jumping,Activity_Walking,Prediction,Activity
373.752,-0.2557620382564695,0.285761830960544,0.23794566703084535,6.45,1,0,1,Jumping
373.762,-0.20705576319818553,-0.12949469903964098,0.2463745505550792,2.785,1,0,1,Jumping
373.772,-0.14563244504374395,-0.541311987840438,0.2509802941921183,1.897,1,0,1,Jumping
373.782,-0.07149208379314471,-0.9342771396964413,0.2520807622101067,4.94,1,0,1,Jumping
373.792,0.009642651160341251,-1.268138294644443,0.24945235353766043,7.865,1,0,1,Jumping
373.802,0.07844185431055428,-1.5170374540371918,0.24384478941412574,10.129,1,0,1,Jumping
373.812,0.12829266324749236,-1.6892542726139557,0.23610643861034275,11.796,1,0,1,Jumping
373.822,0.15639732849000082,-1.810264611110942,0.22713389757921418,13.028,1,0,1,Jumping
373.832,0.17114909848154375,-1.891277848252083,0.21644927383484078,13.905,1,0,1,Jumping
373.842,0.17750762002962256,-1.91917391575823,0.2042389016033757,14.277,1,0,1,Jumping
373.852,0.18348463028481668,-1.9041431579238675,0.19151994654288013,14.163,1,0,1,Jumping
373.862,0.1883171066613566,-1.856375919043478,0.17912324008526168,13.634,1,0,1,Jumping
373.872,0.18895295881616447,-1.7810947505679844,0.167875229327695,12.826,1,0,1,Jumping
373.882,0.18462916416347086,-1.6948589619759213,0.15910436769428538,11.835,1,0,1,Jumping
373.892,0.17649025658192993,-1.6026363461108497,0.153446383721321,10.716,1,0,1,Jumping
373.902,0.15614298762807766,-1.5071018683500708,0.15087935573513692,9.562,1,0,1,Jumping
373.912,0.10819973515556323,-1.3961544948438867,0.15138136206206795,8.394,1,0,1,Jumping
373.921,0.051608893377661585,-1.2408791236567007,0.1545117770614453,7.202,1,0,1,Jumping
373.931,-0.004091755383509038,-1.0301937553682632,0.16027717723536863,6.092,1,0,1,Jumping
373.941,-0.0557229503539092,-0.7772184582577211,0.16934836579799015,5.858,1,0,1,Jumping
373.951,-0.10353903239546206,-0.4754568878373412,0.18235230261613208,6.91,1,0,1,Jumping
373.961,-0.1524996483156691,-0.09815939033410553,0.19988964154821826,9.063,1,0,1,Jumping
373.971,-0.18429225605606328,0.34664913812008047,0.22189023323852042,12.029,1,0,1,Jumping
373.981,-0.19204965234471946,0.8208822857245862,0.24746624990360153,15.289,1,0,1,Jumping
373.991,-0.17882392752471546,1.2807215720131346,0.277275341753415,18.927,1,0,1,Jumping
374.001,-0.17577183718163766,1.7330454793845018,0.31038145332246075,22.363,1,0,1,Jumping
374.011,-0.21455881862491855,2.235047315191474,0.3464996028530921,26.181,1,0,1,Jumping
374.021,-0.23579628059550187,2.732973013280653,0.3848384179259991,29.774,1,0,1,Jumping
374.031,-0.19586476527356678,3.149375957013967,0.4230829698021462,32.347,1,0,1,Jumping
374.041,-0.12630253953758427,3.452156561863796,0.4613647885235237,34.23,1,0,1,Jumping
374.051,-0.06297166491871907,3.629468552587801,0.5000083148603754,35.461,1,0,1,Jumping
374.061,-0.04821989492717616,3.7368493055909164,0.5386101900172637,36.275,1,0,1,Jumping
374.071,-0.07886796878891617,3.7779928206798914,0.5788978418789986,37.018,1,0,1,Jumping
374.081,-0.10646395230757831,3.646282620673698,0.6221799943633876,36.887,1,0,1,Jumping
374.091,-0.11994401798950545,3.3600613253024045,0.6673167204398442,35.504,1,0,1,Jumping
374.101,-0.13698485573835673,3.0209776189034807,0.7126375885750877,33.492,1,0,1,Jumping
374.111,-0.1776793936460613,2.7147577728542647,0.7563581745327789,31.357,1,0,1,Jumping
374.121,-0.23706798490511766,2.5033081287437406,0.7966655559008123,29.345,1,0,1,Jumping
374.131,-0.2824678287584006,2.30077503589089,0.8328976981345022,27.075,1,0,1,Jumping
374.141,-0.2996358369382134,2.0635947724367965,0.8642939191576697,24.345,1,0,1,Jumping
374.151,-0.2888263503064794,1.769221201629917,0.8902557572792567,21.078,1,0,1,Jumping
374.161,-0.26262924152839456,1.417399564862889,0.9106122234446759,17.406,1,0,1,Jumping
374.17,-0.22892907732357673,1.0309307574946187,0.9259727401818167,13.602,1,0,1,Jumping
374.18,-0.19751798087606726,0.6197503652122267,0.9360479413983003,9.603,1,0,1,Jumping
374.19,-0.15987553331144055,0.2060223868562141,0.9417651138901604,5.839,1,0,1,Jumping
374.2,-0.12197874488489067,-0.20452110890777256,0.9435254242854687,2.44,1,0,1,Jumping
374.21,-0.07479851499814572,-0.5958303298159224,0.9416927723670654,2.129,1,0,1,Jumping
374.22,-0.01884352537505194,-0.95618637992958,0.9369620751901353,4.95,1,0,1,Jumping
374.23,0.04016355459111967,-1.254890847061615,0.929977829960432,7.511,1,0,1,Jumping
374.24,0.09166757913055826,-1.4770403526813458,0.9206260439748971,9.537,1,0,1,Jumping
