"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.137520750E0,-9.586365051E0,-8.056246948E-1,1.359323273E0,9.715718491E0
3.147583750E0,-9.141041107E0,-7.878117371E-1,1.294957123E0,9.265861741E0
3.157645750E0,-8.764873352E0,-7.911048889E-1,1.263821869E0,8.890787228E0
3.167708750E0,-8.564440155E0,-7.568261719E-1,1.247805176E0,8.687890353E0
3.177770750E0,-8.474327545E0,-6.390211487E-1,1.262175293E0,8.591604148E0
3.187833750E0,-8.365054779E0,-5.421725464E-1,1.174008636E0,8.464418988E0
3.197895750E0,-8.237220612E0,-5.623805237E-1,1.103954315E0,8.329873372E0
3.207958750E0,-8.008945312E0,-6.676116943E-1,1.012045441E0,8.100194218E0
3.218020750E0,-7.786807251E0,-7.807763672E-1,9.726773071E-1,7.886068732E0
3.228083750E0,-7.700436859E0,-8.842112732E-1,9.406439209E-1,7.807904225E0
3.238145750E0,-7.745942230E0,-9.434880066E-1,8.845106506E-1,7.853161767E0
3.248208750E0,-7.823181610E0,-9.554631042E-1,9.231303406E-1,7.935190601E0
3.258270750E0,-8.005652161E0,-1.036145325E0,9.509724426E-1,8.128247796E0
3.268333750E0,-8.254584503E0,-1.075812836E0,9.093589783E-1,8.373916188E0
