"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.561049250E0,-4.849914551E-2,6.471791840E0,7.382048950E0,9.817387050E0
2.571008250E0,2.245330811E-3,6.486161957E0,7.347171478E0,9.800572978E0
2.580967250E0,1.347198486E-2,6.518943787E0,7.277715912E0,9.770463576E0
2.590927875E0,5.388793945E-2,6.528074799E0,7.205565948E0,9.723108820E0
2.600886875E0,7.828720093E-2,6.545588379E0,7.154821472E0,9.697542287E0
2.610845875E0,1.023870850E-1,6.548432465E0,7.067552948E0,9.635494566E0
2.620804875E0,1.435514832E-1,6.537804565E0,6.978488159E0,9.563618173E0
2.630763875E0,1.725910950E-1,6.508914642E0,6.917265472E0,9.499701002E0
2.640723875E0,2.279759216E-1,6.474336548E0,6.889573059E0,9.457019810E0
2.650682875E0,2.396516418E-1,6.477330322E0,6.878496094E0,9.451293537E0
2.660641875E0,2.532733154E-1,6.486161957E0,6.862329712E0,9.445952222E0
2.670600875E0,2.844085693E-1,6.480473785E0,6.877148895E0,9.453708566E0
2.680560875E0,2.417472839E-1,6.526727600E0,6.929689636E0,9.522458368E0
2.690519875E0,2.128573608E-1,6.573280792E0,7.068002014E0,9.654531636E0
2.700478875E0,2.173480225E-1,6.595584412E0,7.235503693E0,9.792930490E0
2.710437875E0,2.019300842E-1,6.593488770E0,7.420818329E0,9.928918097E0
2.720396875E0,2.260299683E-1,6.542893982E0,7.628137207E0,1.005231458E1
2.730356875E0,2.595602417E-1,6.487658844E0,7.808063049E0,1.015494645E1
2.740315875E0,3.020718384E-1,6.419700165E0,7.908803558E0,1.019082780E1
2.750274875E0,3.306623840E-1,6.368506622E0,7.965834961E0,1.020400612E1
2.760233875E0,3.281176758E-1,6.335575104E0,7.954608307E0,1.017462365E1
2.770193875E0,3.493734741E-1,6.327042847E0,7.903265076E0,1.012991273E1
2.780152875E0,3.649411011E-1,6.353088684E0,7.839946747E0,1.009750874E1
