"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.048601625e0,7.935597839e0,1.732048187e0,5.811215515e0,9.987188281e0
3.058600625e0,8.145910492e0,1.842368774e0,5.891448669e0,1.022053560e1
3.068599625e0,8.177794189e0,1.987566833e0,5.926176453e0,1.029302225e1
3.078598625e0,8.212072906e0,2.166444855e0,5.930068359e0,1.035844271e1
3.088597625e0,8.308921509e0,2.403551788e0,5.830974426e0,1.043146685e1
3.098596625e0,8.245303802e0,2.651286621e0,5.824537811e0,1.043741329e1
3.108595625e0,8.231981506e0,2.877166901e0,5.973627777e0,1.057013896e1
3.118594625e0,8.338559875e0,2.973865814e0,6.100414124e0,1.075130277e1
3.128593625e0,8.586743774e0,3.014132080e0,6.159391479e0,1.098887002e1
3.138592625e0,8.826694794e0,3.056793365e0,6.330036621e0,1.128378883e1
3.148591625e0,8.985215149e0,3.147804108e0,6.512956238e0,1.153522262e1
3.158590625e0,9.029523010e0,3.204236755e0,6.514303436e0,1.158600743e1
3.168589625e0,8.870703278e0,3.396736450e0,6.384373627e0,1.144497365e1
3.178588625e0,8.417445831e0,3.417992249e0,6.379433899e0,1.110104690e1
3.188587625e0,8.201145630e0,3.250789948e0,6.094576263e0,1.072241972e1
3.198586625e0,8.225844269e0,3.048111420e0,5.996979218e0,1.062634730e1
3.208585625e0,8.472231903e0,2.839145966e0,6.032156067e0,1.078083346e1
3.218584625e0,8.882977753e0,2.637215881e0,6.044729919e0,1.106349679e1
3.228583625e0,9.266629944e0,2.472258911e0,5.917344818e0,1.126931517e1
3.238583625e0,9.596693573e0,2.380350037e0,5.678291931e0,1.140199952e1
3.248582625e0,9.822274475e0,2.363435211e0,5.321583710e0,1.141850056e1
3.258581625e0,9.995763702e0,2.377655640e0,4.873116302e0,1.137171055e1
3.268580625e0,1.005938141e1,2.398462372e0,4.454137573e0,1.125980096e1
